city,neighbourhood_cleansed,total_listings,avg_occupancy,median_price,commercial_pct,licensed_pct,avg_availability,avg_reviews,occupancy_rate,total_listings_norm,avg_occupancy_norm,commercial_pct_norm,activity_score
los-angeles,Echo Park,372,65.53,150.0,0.44,0.38,164.21,4.83,0.18,0.1958874458874459,0.45018109509267806,0.44,0.346
los-angeles,El Monte,326,83.06,79.0,0.85,0.0,226.01,4.75,0.228,0.170995670995671,0.5746750940984305,0.85,0.468
los-angeles,El Segundo,115,66.93,150.0,0.76,0.52,233.02,4.79,0.183,0.056818181818181816,0.4601235707691215,0.76,0.359
los-angeles,El Sereno,87,75.28,116.0,0.52,0.55,203.13,4.91,0.206,0.041666666666666664,0.5194233364107663,0.52,0.328
los-angeles,Elysian Park,14,123.21,107.0,0.57,0.29,254.29,4.84,0.338,0.0021645021645021645,0.8598110929621475,0.57,0.459
los-angeles,Elysian Valley,33,48.88,123.5,0.55,0.21,149.36,4.58,0.134,0.012445887445887446,0.3319366522264044,0.55,0.248
los-angeles,Encino,246,48.23,224.0,0.6,0.4,241.61,4.83,0.132,0.1277056277056277,0.3273205028051985,0.6,0.302
los-angeles,Exposition Park,654,28.5,42.0,0.94,0.08,264.43,4.45,0.078,0.3484848484848485,0.18720261345074923,0.94,0.402
los-angeles,Fairfax,304,57.55,225.0,0.63,0.47,200.67,4.79,0.158,0.1590909090909091,0.3935089837369505,0.63,0.347
los-angeles,Florence,16,15.0,193.5,0.88,0.19,160.56,4.31,0.041,0.003246753246753247,0.09132874085647326,0.88,0.214
los-angeles,Florence-Firestone,47,71.49,91.5,0.79,0.0,232.4,4.63,0.196,0.02002164502164502,0.4925076344009658,0.79,0.363
los-angeles,Gardena,132,72.39,105.0,0.57,0.05,224.22,4.72,0.198,0.06601731601731602,0.4988992259072509,0.57,0.34
los-angeles,Glassell Park,91,95.02,120.0,0.4,0.51,175.75,4.86,0.26,0.04383116883116883,0.6596122434486187,0.4,0.361
los-angeles,Glendale,731,77.93,165.0,0.59,0.0,215.23,4.76,0.214,0.39015151515151514,0.5382430225126057,0.59,0.489
los-angeles,Glendora,125,71.34,147.5,0.64,0.0,266.22,4.79,0.195,0.06222943722943723,0.49144236914991835,0.64,0.349
los-angeles,Gramercy Park,35,69.54,129.0,0.37,0.63,251.2,4.73,0.191,0.013528138528138528,0.47865918613734826,0.37,0.271
los-angeles,Granada Hills,62,66.55,193.0,0.45,0.65,225.58,4.87,0.182,0.02813852813852814,0.45742489879980114,0.45,0.284
los-angeles,Green Meadows,11,100.36,126.0,0.36,0.82,163.91,4.73,0.275,0.0005411255411255411,0.6975356863859101,0.36,0.351
los-angeles,Hacienda Heights,342,64.23,75.0,0.8,0.0,213.64,4.71,0.176,0.17965367965367965,0.44094879625026634,0.8,0.408
los-angeles,Hancock Park,92,42.26,200.0,0.57,0.57,213.45,4.86,0.116,0.044372294372294376,0.2849229458135075,0.57,0.246
los-angeles,Harbor City,63,40.62,62.0,0.92,0.22,197.25,4.74,0.111,0.02867965367965368,0.2732760457353881,0.92,0.305
los-angeles,Harbor Gateway,82,63.82,110.5,0.68,0.44,261.28,4.78,0.175,0.03896103896103896,0.43803707123073643,0.68,0.327
los-angeles,Harvard Heights,74,68.91,95.0,0.73,0.42,209.24,4.66,0.189,0.03463203463203463,0.47418507208294863,0.73,0.35
los-angeles,Harvard Park,10,46.0,149.0,0.4,0.9,264.7,4.7,0.126,0.0,0.31148355940629213,0.4,0.205
los-angeles,Hawthorne,313,89.97,121.0,0.66,0.01,186.56,4.76,0.246,0.16396103896103897,0.6237483133300191,0.66,0.447
los-angeles,Hermosa Beach,307,71.47,255.0,0.56,0.0,204.13,4.85,0.196,0.16071428571428573,0.4923655990341595,0.56,0.373
los-angeles,Highland Park,223,77.92,144.0,0.43,0.44,164.91,4.88,0.213,0.11525974025974026,0.5381720048292025,0.43,0.347
los-angeles,Historic South-Central,86,32.33,38.0,0.77,0.28,230.1,4.54,0.089,0.04112554112554113,0.21440238619416233,0.77,0.256
